,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1668160800,17382.03,17205.3,17355.53,2736.21,47293420.91,17294.72,direct,
1,1668164400,17427.22,17264.54,17294.72,2497.16,43405167.03,17323.74,direct,
2,1668168000,17387.21,17229.52,17323.74,3265.62,56612942.05,17377.33,direct,
3,1668171600,17510.9,17277.41,17377.33,3129.29,54514492.67,17284.56,direct,
4,1668175200,17287.59,16383.43,17284.56,14511.92,243229723.6,16893.12,direct,
5,1668178800,17009.08,16661.73,16893.12,6215.78,104777026.73,16840.76,direct,
6,1668182400,16893.13,16536.25,16840.76,5687.33,95074485.68,16797.17,direct,
7,1668186000,16916.64,16717.12,16797.17,4854.95,81599997.47,16872.92,direct,
8,1668189600,17000.87,16766.6,16872.92,4321.19,72996013.27,16797.93,direct,
9,1668193200,16846.41,16646.27,16797.93,4282.07,71718758.36,16803.68,direct,
10,1668196800,16820.31,16537.21,16803.68,5633.46,93819341.52,16572.87,direct,
11,1668200400,16850.87,16571.06,16572.87,4893.68,81867483.55,16757.02,direct,
12,1668204000,16938.08,16753.74,16757.02,3287.53,55473220.01,16874.31,direct,
13,1668207600,17084.31,16793.58,16874.31,3895.91,65886137.79,17007.72,direct,
14,1668211200,17067.53,16816.24,17007.72,2961.79,50102246.1,16852.1,direct,
15,1668214800,16888.06,16770.23,16852.1,1722.16,28987729.8,16855.21,direct,
16,1668218400,16963.0,16822.53,16855.21,1479.1,24992461.06,16853.25,direct,
17,1668222000,16894.76,16745.66,16853.25,1671.7,28132333.08,16875.7,direct,
18,1668225600,16902.58,16710.12,16875.7,1834.68,30811531.12,16725.8,direct,
19,1668229200,16747.56,16603.78,16725.8,2260.94,37709727.17,16664.37,direct,
20,1668232800,16772.71,16642.34,16664.37,1495.07,24994696.39,16725.8,direct,
21,1668236400,16828.14,16720.82,16725.8,1568.11,26303582.78,16780.02,direct,
22,1668240000,16855.93,16688.16,16780.02,1322.02,22176480.93,16797.71,direct,
23,1668243600,16856.37,16756.79,16797.71,1412.59,23752425.43,16819.05,direct,
24,1668247200,16923.19,16775.32,16819.05,1497.27,25211656.59,16805.73,direct,
25,1668250800,16851.86,16756.6,16805.73,1011.47,16996960.28,16836.32,direct,
26,1668254400,16883.01,16784.7,16836.32,1101.84,18547837.68,16835.01,direct,
27,1668258000,16837.97,16730.9,16835.01,1378.8,23144212.0,16810.92,direct,
28,1668261600,16939.11,16769.6,16810.92,2029.41,34191128.48,16874.36,direct,
29,1668265200,16964.2,16846.1,16874.36,1758.33,29730138.88,16902.84,direct,
30,1668268800,16932.35,16843.8,16902.84,1186.36,20020825.32,16860.57,direct,
31,1668272400,16882.23,16835.5,16860.57,930.08,15682355.47,16867.99,direct,
32,1668276000,16876.61,16803.08,16867.99,1284.15,21620003.48,16843.29,direct,
33,1668279600,16878.39,16822.22,16843.29,876.23,14767335.66,16871.22,direct,
34,1668283200,16878.25,16769.35,16871.22,1137.04,19130249.6,16797.3,direct,
35,1668286800,16829.72,16747.64,16797.3,1073.91,18033562.84,16793.02,direct,
36,1668290400,16827.12,16767.24,16793.02,643.37,10809973.56,16808.2,direct,
37,1668294000,16813.6,16737.24,16808.2,994.76,16686914.24,16773.9,direct,
38,1668297600,16852.35,16750.42,16773.9,1129.37,18980045.73,16817.67,direct,
39,1668301200,16874.95,16816.01,16817.67,724.29,12197863.62,16849.06,direct,
40,1668304800,16877.48,16830.72,16849.06,583.62,9837286.03,16866.09,direct,
41,1668308400,16921.72,16841.38,16866.09,1044.73,17641573.77,16890.89,direct,
42,1668312000,16899.23,16827.87,16890.89,708.33,11946420.82,16838.04,direct,
43,1668315600,16845.25,16811.94,16838.04,580.75,9773773.72,16833.69,direct,
44,1668319200,16838.77,16657.5,16833.69,1332.24,22316452.99,16659.13,direct,
45,1668322800,16760.22,16544.66,16659.13,1979.86,33012531.06,16744.79,direct,
46,1668326400,16765.53,16591.96,16744.79,1380.53,23035148.57,16626.97,direct,
47,1668330000,16645.83,16428.12,16626.97,2327.21,38431723.34,16513.93,direct,
48,1668333600,16594.86,16482.18,16513.93,1210.6,20035073.25,16555.98,direct,
49,1668337200,16692.98,16536.49,16555.98,1215.74,20201950.75,16631.56,direct,
50,1668340800,16640.38,16568.07,16631.56,936.94,15549139.41,16583.81,direct,
51,1668344400,16678.75,16564.84,16583.81,1327.15,22061324.74,16646.11,direct,
52,1668348000,16686.6,16603.77,16646.11,1480.8,24657825.99,16613.93,direct,
53,1668351600,16628.65,16501.21,16613.93,1662.52,27532863.8,16555.31,direct,
54,1668355200,16594.41,16499.71,16555.31,1434.12,23727124.76,16563.81,direct,
55,1668358800,16567.9,16448.4,16563.81,1689.59,27893797.99,16531.92,direct,
56,1668362400,16547.79,16445.21,16531.92,1420.85,23429795.68,16504.98,direct,
57,1668366000,16550.3,16478.15,16504.98,1620.64,26769618.69,16529.62,direct,
58,1668369600,16555.42,16443.13,16529.62,1718.58,28362455.18,16467.94,direct,
59,1668373200,16521.53,16235.01,16467.94,3586.98,58675939.15,16369.37,direct,
60,1668376800,16451.12,16314.78,16369.37,1490.07,24401456.48,16405.17,direct,
61,1668380400,16422.24,16254.95,16405.17,2796.87,45711300.46,16307.47,direct,
62,1668384000,16378.9,16113.95,16307.47,2947.83,47871326.59,16238.37,direct,
63,1668387600,16275.88,15978.33,16238.37,4230.87,68129061.76,16066.59,direct,
64,1668391200,16185.26,15913.56,16066.59,3565.15,57109199.95,16152.77,direct,
65,1668394800,16183.19,16096.17,16152.77,2613.21,42149366.46,16113.82,direct,
66,1668398400,16115.55,15846.39,16113.82,4861.01,77573563.25,15956.58,direct,
67,1668402000,15976.52,15797.71,15956.58,3062.2,48693820.14,15837.8,direct,
68,1668405600,16679.93,15823.74,15837.8,5792.46,93945035.28,16613.9,direct,
69,1668409200,16853.34,16366.7,16613.9,4616.78,76853145.66,16803.96,direct,
70,1668412800,16916.57,16706.59,16803.96,2739.77,46067813.96,16756.51,direct,
71,1668416400,16774.27,16629.84,16756.51,1599.93,26728264.6,16735.02,direct,
72,1668420000,16811.57,16697.62,16735.02,2072.05,34691617.69,16766.66,direct,
73,1668423600,16857.6,16717.31,16766.66,1412.66,23685079.1,16735.23,direct,
74,1668427200,16811.63,16649.72,16735.23,1627.61,27228110.06,16801.33,direct,
75,1668430800,17157.81,16524.92,16801.33,6724.68,113587049.95,16713.94,direct,
76,1668434400,16778.64,16438.7,16713.94,5087.81,84429818.39,16579.45,direct,
77,1668438000,16647.51,16436.04,16579.45,4453.89,73728701.26,16560.39,direct,
78,1668441600,16596.96,16339.52,16560.39,4228.7,69585668.35,16455.45,direct,
79,1668445200,16595.99,16430.06,16455.45,3382.72,55872882.49,16559.8,direct,
80,1668448800,16638.23,16518.03,16559.8,2660.97,44127181.71,16588.96,direct,
81,1668452400,16605.47,16176.83,16588.96,4006.26,65782561.96,16234.88,direct,
82,1668456000,16315.07,16180.57,16234.88,3753.55,60993535.6,16254.72,direct,
83,1668459600,16391.98,16238.5,16254.72,2742.34,44783924.11,16381.24,direct,
84,1668463200,16503.94,16335.65,16381.24,1986.67,32561871.48,16387.14,direct,
85,1668466800,16717.19,16382.74,16387.14,4099.25,68069274.28,16592.04,direct,
86,1668470400,16656.03,16516.93,16592.04,2963.49,49148266.97,16540.56,direct,
87,1668474000,16775.05,16509.15,16540.56,2879.11,47967105.62,16691.01,direct,
88,1668477600,16779.44,16665.77,16691.01,2467.58,41316908.92,16740.72,direct,
89,1668481200,16873.45,16740.72,16740.72,3708.4,62419023.43,16807.76,direct,
90,1668484800,16848.1,16742.61,16807.76,2091.55,35129826.0,16751.23,direct,
91,1668488400,16778.2,16623.82,16751.23,1433.01,23946550.57,16640.38,direct,
92,1668492000,16736.18,16637.43,16640.38,1106.4,18458574.17,16732.15,direct,
93,1668495600,16915.54,16726.84,16732.15,2422.14,40749981.89,16829.88,direct,
94,1668499200,16967.81,16792.56,16829.88,2116.31,35760860.41,16903.91,direct,
95,1668502800,16934.22,16722.66,16903.91,2382.22,40093768.65,16783.41,direct,
96,1668506400,16865.75,16740.9,16783.41,1711.6,28748065.0,16862.77,direct,
97,1668510000,16940.5,16695.73,16862.77,2989.7,50207727.06,16764.41,direct,
98,1668513600,16861.04,16713.46,16764.41,2589.98,43532634.76,16820.09,direct,
99,1668517200,17091.76,16809.49,16820.09,5001.7,84807820.54,16996.36,direct,
100,1668520800,16997.42,16803.19,16996.36,4586.25,77590929.74,16851.9,direct,
